драматический	dramatic
болотный	marsh (adj)
брошка	brooch	g pl брошек
варьировать (i) (+a)	to vary, modify	i варьирую
ветвиться/раз-	to branch
вишь	look!
водопровод	water-pipe
возбуждаться/возбудиться	to become aroused
восковой	wax (adj)
восторгаться (i) (+inst)	to be delighted (with)	i
кинотеатр	cinema
доступ (к +d)	access (to)
объект	object; construction site, building
губернатор	governor
дворянство	gentry
дивиться/по- (+d)	to wonder, marvel (at) (coll)	i дивлюсь, дивишься
диктатор	dictator
жёлоб	gutter, chute	nom pl желоба
военно-морской	naval
жилка	vein	романтическая жилка romantic streak
измельчённый	crumbled, chopped up
испарение	evaporation
катер	cutter, launch (boat)	nom pl катера
текстильный	textile (adj)
тюк	bale	g sg тюка
отвал	slag-heap, dump	до отвала to satiety
истечение	outflow; expiry, termination	по истечении +g on the expiry of, after
керосиновый	kerosene (adj)
конус	cone
крепостничество	serfdom
ледовый	ice (adj)
лепёшка	flat cake; scone; lozenge, pastille	g pl лепёшек
лесник	forester, forest ranger	g sg лесника
максимум	maximum
машинистка	typist	g pl машинисток
общенародный	national, of the whole people
оригинал	original; eccentric (noun)
ориентация	orientation
осыпать (i/p) (+a +inst)	to shower (s.o./sth with sth)	осыпа́ть/осы́пать; p осы́плю, осы́плешь
пёрышко	(little) feather (coll)	nom pl пёрышки, g pl пёрышек
пеший	pedestrian, foot (adj)
питерский	St Petersburg (adj) (coll)
победоносный	victorious
карать/по- (+a)	to punish
полковой	regimental
приписка	(written) addition	g pl приписок
промеж (+g or +inst)	between (coll)
резец	cutting tool; incisor (tooth)
репродукция	reproduction
рисоваться (i)	to show off, pose; seem	i рисуюсь
рукоятка	handle	g pl рукояток
серп	sickle	g sg серпа
сирень (f)	lilac	f
собачонка	little dog (coll)	g pl собачонок
соприкосновение	contact
сплав	alloy
срез	cut; cut edge
сток	flow; drain
струйка	thin stream, trickle	g pl струек
сыр	cheese	pr sg в сыре/в сыру, nom pl сыры
термометр	thermometer
транспортировка	transportation
трюм	hold (of ship)
угодье	usable land	g pl угодий; полевые угодья arable land; охотничьи угодья hunting grounds
уцелевший	surviving
участница	participant (f)
имение	estate
инстинкт	instinct
интенсивный	intensive
испанский	Spanish (adj)
извозчик	carrier, cabman
исследовательский	research (adj)
кавказский	Caucasian, of the Caucasus
казарма	barracks
капкан	trap
карьерист	careerist
кастрюля	saucepan	g pl кастрюль
кашель (m)	cough	m
кинжал	dagger
кишка	gut, intestine	g pl кишок
клинок	blade
клоун	clown
клубок	ball (of wool etc.)
кобель (m)	male dog	m; g sg кобеля
кое-какой	some, certain	Он сообщил кое-какие новости He gave us certain items of news
коммерческий	commercial	коммерческий магазин privately-owned shop
коллекционер	collector
колодец	well
колотить/по- (+a)	to batter	i колочу, колотишь
колючка	prickle	g pl колючек
комплект	set, complete set
конвой	escort
коньки (m pl)	skates	m pl; g pl коньков
коньяк	cognac, brandy	g sg коньяка
координировать (i/p) (+a)	to coordinate	(i/p) координирую
копошиться (i)	to swarm	i
копчёный	smoked
копьё	spear	nom pl копья, g pl копий
королёвский	royal
коммунальный	communal	коммунальная квартира communal flat (shared by several families)
космонавт	cosmonaut
краб	crab
красться (i)	to creep	i крадусь, крадёшься, past крался, кралась
кроткий	gentle, meek
кругозор	horizon, outlook
кружить (i) (+a)	to spin; circle	i кружу, кружишь
крымский	Crimean
кудрявый	curly
курсы (m pl)	course, courses (of study)	m pl; g pl курсов
лавина	avalanche
лампада	icon-lamp
ландшафт	landscape
легкомыслие	thoughtlessness
летопись (f)	chronicle	f
ловля	catching	g pl ловeль; рыбная ловля fishing
ложный	false
лупа	magnifying glass
люлька	cradle	g pl люлек
магистраль (f)	main line; main road	f
магнит	magnet
мамин	mother’s (possessive adj)	f мамина, n мамино
мартовский	March (adj)
маскировка	disguise, camouflage
мах	swing, stroke	одним махом at one stroke
маятник	pendulum
мгновенный	instantaneous; momentary
медик	doctor; medical specialist
медлительный	slow
месть (f)	revenge	f
метать/метнуть (+a)	to throw, cast	i мечу, мечешь
метко	accurately
механизировать (i/p) (+a)	to mechanize	i/p механизирую
мираж	mirage
миф	myth
многовековой	centuries-old
мобилизация	mobilization
морщина	wrinkle
мох	moss	pr sg во мху
муравей	ant	g sg муравья, g pl муравьёв
муть (f)	sediment	f
мысленный	mental
мычать (i)	to moo; bellow	i мычу, мычишь
набат	alarm bell
навеки	for ever
наглый	impudent
надстройка	additional storey; superstructure	g pl надстроек
наёмник	mercenary
наличный	available; cash (adj)	наличные деньги cash; наличный расчёт cash payment
напрямик	directly; bluntly (coll)
насаживать/насадить (+a на +a)	to fix (sth onto sth)	p насажу, насадишь
населённый	inhabited	населённый пункт locality, place
насильно	by force
насмерть	to (the) death	испугать насмерть to frighten to death
настораживаться/насторожиться	to prick up one’s ears, be on one’s guard
насыщать/насытить (+a +inst)	to satiate; fill (sth with sth), saturate
насыщенный	saturated; rich (in content)
нате	here you are, take it (coll)
натягивать/натянуть (+a)	to pull tight; pull on	p натяну, натянешь
неблагоприятный	unfavourable
невесёлый	joyless
невесть	no-one knows (coll)	невесть почему God knows why
невзрачный	unattractive
неграмотность (f)	illiteracy	f
незаменимый	irreplaceable
неминуемо	inevitably
необозримый	immense
необычно	unusually
неосторожный	careless
неотъемлемый	inalienable, integral
непоправимый	irreparable
непременный	indispensable	непременное условие sine qua non
неприлично	indecently
неравномерный	irregular
несложный	uncomplicated
несомненный	undoubted
нетронутый	untouched
неудобство	discomfort, inconvenience
неустойчивый	unstable
неприемлемый	unacceptable
нотка	note (sound)	g pl ноток; нотка недоверия note of distrust
нудный	tedious
обиженный	offended
обитать (i)	to live, reside
обкладывать/обложить (+a)	to put round	p обложу, обложишь
облагать/обложить (+a)	to assess (for tax)	p обложу, обложишь
обниматься/обняться	to embrace one another	p обнимусь, обнимешься, pl past обнялись
обогащаться/обогатиться	to become rich	p обогащусь, обогатишься
обогащать/обогатить (+a)	to enrich
обои (pl)	wallpaper	g pl обоев
обороняться/оборониться (от +g)	to defend os (from)	i обороняюсь
обречённый	doomed
обронить (р) (+a)	to drop (and lose); let fall	p оброню, обронишь; no i; обронить замечание to let fall a remark, comment
обстоятельный	detailed, thorough
обстрел	bombardment
обучать/обучить (+a +d)	to teach (s.o. sth)
обыденный	ordinary
окидывать/окинуть (взглядом)	to glance over
оккупационный	occupation (adj)
оковы (pl)	fetters	g pl оков
опережать/опередить (+a)	to outstrip; forestall	p опережу, опередишь
оправляться/оправиться	to recover
организованность (f)	good organization	f
организовывать/организовать (+a)	to organize
орудийный	gun, cannon (adj)
освобождённый	liberated, free
осенью	in autumn
оскорбительный	insulting
слабеть/о-	to become weak	p ослабею, ослабеешь; слабеть/ослабевать i
ослепительный	dazzling
оснащать/оснастить (+a +inst)	to equip (sth with sth)	p оснащу, оснастишь
осознавать/осознать (+a)	to realize
остальное	the rest, remainder
стричь/о- (+a)	to cut, clip	p остригу, острижёшь, остригут, past остриг, остригла; стричь i/ остригать i
островок	islet
отбой	beating off, repulsion; retreat
отбывать/отбыть (+a)	to serve (a period of time); (bookish) depart	p отбуду, отбудешь, f past отбыла
отвага	courage
отваливать/отвалить (+a)	to push away (sth heavy); cast off (boat)	p отвалю, отвалишь
отвесный	steep
отклик	response
отрывок	excerpt
ошибочный	mistaken
панихида	requiem
паром	ferry
пассивный	passive
певец	singer
пепельница	ashtray
перебрасывать/перебросить (+a через +a)	to throw over	p переброшу, перебросишь
передумывать/передумать	to change one’s mind
перекрывать/перекрыть (+a)	to cover again; block off	p перекрою, перекроешь
перелёт	flying over; migration (birds)
переноситься/перенестись	to be carried (over)	i переношусь, переносишься
переодеваться/переодеться	to change one’s clothes; disguise os
переплетаться/переплестись	to be interwoven
переработка	reworking
переступать/переступить (+a or через +a)	to step over	p переступлю, переступишь
персидский	Persian
персонал	personnel, staff
пилить (i) (+a)	to saw; (coll) nag	i пилю, пилишь
пластический	plastic (adj); artistically expressive
пленительный	captivating
плотность (f)	solidity; density	f
побаиваться (i) (+g)	to be rather afraid of
грузиться/по-	to get on board, embark
погрузка	loading
подавлять (i) (+a)	to suppress	i подавляю; подавить
подпирать/подпереть (+a)	to prop up	p подопру, подопрёшь, past подпёр, подпёрла
подставлять/подставить (+a под +a)	to put under	i подставляю; p подставлю, подставишь
подталкивать/подтолкнуть (+a)	to push slightly; (coll) urge on
подтянутый	self-controlled; well turned out, smart
жертвовать/по- (+a)	to donate; (+inst) sacrifice	p пожертвую
покрывало	cover; bedspread
половица	floorboard
получка	pay, wages (coll)
полый	hollow
махать/по- (+inst)	to wave (for a while)	p помашу, помашешь
медлить/по-	to delay, hesitate
мерещиться/по-	to seem (coll), imagine
помёт	dung, droppings
пометка	mark, note	g pl пометок
поприще	field (of activity)
попутно	on the way; in passing
попутный	accompanying; passing	попутный ветер favourable wind
радовать/по- (+a)	to gladden, please	p порадую
радоваться/по- (+d)	to be glad (at)	p порадуюсь
поражённый	defeated; astounded
порывисто	jerkily; suddenly
постигать/постичь (+a)	to comprehend; befall	p постигну, постигнешь, past постиг, постигла
потемневший	darkened
толковать/по- (о +pr с +inst)	to have a talk about sth with s.o. (coll)	p потолкую
потомственный	hereditary
потрясённый	staggered, stunned
похороны (pl)	funeral	g pl похорон, d pl похоронам
по-человечески	like a human being
почём	how much?; how? (coll)	Почём виноград? How much are the grapes?
почтальон	postman
почтение	respect
предок	ancestor
предсказание	prediction
премьера	premiere, first night
препятствовать (i) (+d)	to hinder	i препятствую
приглядываться/приглядеться (к +d)	to look closely at (coll)	p пригляжусь, приглядишься
пригород	suburb
приёмный	reception (adj); adopted
приземистый	stocky, squat
прикрываться/прикрыться (+inst)	to use as a cover, hide behind
применительно (к +d)	with reference to
примыкать (i) (к +d)	to join, side with; (i only) примкнуть p adjoin, be adjacent to
приподнятый	elated
прихватывать/прихватить (+a)	to grip; fasten; take (coll)	p прихвачу, прихватишь
причинять/причинить (+a)	to cause	i причиняю
будить/про- (+a)	to awaken	p пробужу, пробудишь; будить i/пробуждать i
пробыть (р)	to spend (a certain time)	p пробуду, пробудешь, past пробыл, пробыла, пробыло
проголодаться (р)	to get hungry
продвигаться/продвинуться	to advance, move forward
продовольственный	food (adj)	продовольственный магазин food shop
продуктивность (f)	productivity	f
проезд	thoroughfare; journey
прозвище	nickname
преступность (f)	crime, criminality	f
прокат	hire
проклятие	curse
пролезать/пролезть (в +a)	to climb through, go through	p пролезу, пролезешь, past пролез, пролезла
променивать/променять (+a на +a)	to exchange (sth for sth)	p променяю
промысел	trade, business
пронзительный	penetrating
полноценный	genuine, complete, of good quality	полноценная пища proper food
просвет	shaft of light; aperture
простительно	pardonably
противопоставлять/противопоставить (+a +d)	to contrast (sth with sth), set sth against sth	i противопоставляю; p противопоставлю, противопоставишь
протяжно	slowly, lingeringly; with a drawl
публикация	publication
пуск	starting up, launch
пятёрка	the number five; excellent (exam mark)	g pl пятёрок
развитой	developed, mature
разговориться (p)	to become talkative
разевать/разинуть (+a)	to gape (coll)	p разинуть рот to gape
разогревать/разогреть (+a)	to heat up	p разогрею, разогреешь
разрастаться/разрастись	to grow, expand, spread	p разрастётся, past разросся, разрослась
разрезать (i/p) (+a)	to cut up	разреза́ть/разре́зать; p разре́жу, разре́жешь
разузнавать/разузнать (+a)	to find out
разъезд	departure, dispersal	разъезды travels
разъяснение	explanation
распрощаться (p) (с +inst)	to say goodbye (to s.o.) (coll)	also распроститься р
расстроенный	upset
расхаживать (i)	to pace up and down
рвануть (р) (+a)	to tug; (coll) jerk into motion
реконструировать (i/p) (+a)	to reconstruct	(i/p) реконструирую
рельеф	relief (geog, art)
репрессия	repression	сталинские репрессии Stalin’s purges
родительский	parents’
родник	spring (water source)	g sg родника
романтика	romance, romanticism
реагировать/от- (на +a)	to react (to)	реагирую; про-/от- р
рубиновый	ruby (adj)
рубрика	heading, rubric
рукопожатие	handshake
рыболовный	fishing (adj)
садовод	gardener
самка	female (animal)	g pl самок
самогон	home-made vodka
самоубийство	suicide
сахарный	sugary
свёкла	beet
свергать/свергнуть (+a)	to overthrow	p свергну, свергнешь, past сверг, свергла
светать (i)	to get light, dawn	i В июне светает рано It gets light early in June
светский	(high) society (adj); secular
свойственно (+d)	(it is) characteristic (of)
сгорание	combustion
сгоряча	in the heat of the moment
сдвинутый	shifted
сдерживаться/сдержаться	to control os	p сдержусь, сдержишься
свитер	sweater	nom pl свитера
сектор	sector
серьёзность (f)	seriousness	f
сибиряк	Siberian	g sg сибиряка
сито	sieve
сквозной	through (adj)	сквозной ветер draught; сквозной поезд through train
склянка	phial, bottle	g pl склянок
сковородка	frying-pan	g pl сковородок; dim of сковорода frying pan
скопляться/скопиться	to accumulate	p скопится
скороговорка	tongue-twister; rapid speech	g pl скороговорок; говорить скороговоркой to gabble
славиться (i) (+inst)	to be famous for	i славлюсь, славишься
славянский	Slavonic
сложение	build, composition; addition (arithmetic)
смывать/смыть (+a)	to wash off	p смою, смоешь
сниматься/сняться	to be taken off; move off; have one’s picture taken; come off; act in a film; be photographed	p снимусь, снимешься, past снялся, снялась
собачка	small dog; trigger; catch	g pl собачек
соблюдаться (i)	to be observed, be adhered to
соприкасаться (i) (с +inst)	to adjoin, be in contact with
сорняк	weed	g sg сорняка
социал-демократ	social democrat
сочетать (i/p) (+a с +inst)	to combine (sth with sth)	i/p
спад	fall, slump
спекуляция	speculation
спешно	urgently, hurriedly
спешный	urgent
старательно	diligently, painstakingly
стая	flock, pack
стержень (m)	pivot, rod	m
стирка	washing (of clothes)
стратегия	strategy
стропило	rafter, roof beam
суеверный	superstitious
сухопутный	ground (adj) (troops)
сущий	real, absolute (coll)	сущая правда the honest truth
сюртук	frock-coat	g sg сюртука
табличка	door-plate, nameplate, plaque	g pl табличек
тактический	tactical
танковый	tank (adj)	танковый полк tank regiment
тара	packaging
татарский	Tatar (adj)
творчески	creatively
телёнок	calf	nom pl телята, g pl телят
толком	clearly; properly (coll)	Он толком ничего не сделает Не won’t do anything properly
теоретически	theoretically
терзать (i) (+a)	to torment; pull about
теснота	tightness; cramped conditions
техникум	technical college
тигр	tiger
томительный	tiresome
тонко	thinly; delicately; subtly
торт	cake
трамплин	spring-board; ski-jump
тревожиться/вс-	to worry
треугольник	triangle
тринадцать	thirteen
тщательный	thorough
убираться/убраться	to tidy up; clear off, make os scarce (coll)
уговор	agreement; persuasion
указание	indication; instruction
удаление	removal
удирать/удрать	to run away, do a bunk (coll)	p удеру, удерёшь, f past удрала
указываться/указаться	to be indicated
уклончиво	evasively
укор	reproach
укутывать/укутать (+a)	to wrap (s.o.) up
улучшаться/улучшиться	to improve
умелый	skilful
умножать/умножить (+a)	to multiply
уныние	dejection, gloom
упорство	persistence; obstinacy
управляться/управиться (с +inst)	to cope with (coll)	p управлюсь, управишься
урегулирование	regulation; adjustment
усатый	with a moustache; whiskered
условливаться/условиться (c +inst о +pr/inf)	to make an arrangement (with s.o. about sth/to do sth)	p условлюсь; условишься
условно	conditionally, provisionally
услыхать (р) (+a)	to hear (= услышать р)	p услышу, услышишь
усматривать/усмотреть (+a в +pr)	to see (sth in sth), interpret as
ухватывать/ухватить (+a)	to seize	p ухвачу, ухватишь
факел	torch
фактический	actual	фактическое признание de facto recognition
фермер	farmer
физически	physically
флейта	flute
формировать/с- (+a)	to form	i формирую
хижина	shack, cabin
хихикать/хихикнуть	to giggle
хладнокровный	cool, calm, composed
храбрость (f)	bravery	f
хрипло	hoarsely
хриплый	hoarse
царица	tsarina, empress
частенько	quite often (coll)
частично	partially
червь (m)	worm	m; g sg червя, nom pl черви, g pl червей
черноморский	Black Sea (adj)
чудно	wonderfully
чуткий	sensitive
шалаш	cabin (made of branches)	g sg шалаша
шампанское	champagne
шахматный	chess (adj)
шкафчик	small cupboard
шоссейный	highway (adj)
щёлка	chink	g pl щёлок
щит	shield	g sg щита
экономно	economically, thriftily
энергетика	power engineering
эстрада	stage
этика	ethics
янтарный	amber (adj)
янтарь (m)	amber	m; g sg янтаря
ад	hell	pr sg в аду
аккорд	chord
активизация	activization
алтарь (m)	altar	m; g sg алтаря
антенна	antenna; aerial
апельсин	orange
апостол	apostle
армейский	army (adj)
ассигнование	allocation	ассигнования на народное образование funding for education
баран	ram (sheep)
баян	bayan, Russian accordion
безграмотность (f)	illiteracy	f
бездна	abyss; (coll) (+g) great quantity	бездна дел a huge number of things to do
бездушный	heartless
беззаветно	selflessly
безмолвно	silently
безнаказанно	with impunity
безошибочно	correctly, accurately
безуспешно	unsuccessfully
белила (pl)	whitewash	pl; g pl белил
беречься (i)	to be careful	i берегусь, бережёшься, берегутся, past берёгся, береглась
бесследно	without trace	исчезнуть бесследно to vanish without trace
бесстыдно	shamelessly
бизнесмен	businessman
благополучный	successful
блаженство	bliss
допустимый	permissible
блиндаж	dug out	g sg блиндажа
блюдечко	small dish, saucer
богач	rich man	g sg богача
бодро	cheerfully, heartily
бойко	boldly, briskly
бомбить/раз- (+a)	to bomb	i бомблю, бомбишь
браслет	bracelet
брожение	ferment
броня (бронь)	reservation, booking	бро́ня
броня	armour-plating	броня́
бросок	throw; bound
будка	booth	g pl будок
буквальный	literal
бутерброд	(open) sandwich
бухгалтер	bookkeeper
бюрократический	bureaucratic
бюрократия	bureaucracy
вдребезги	to pieces
венец	crown, wreath; halo
веселить/раз- (+a)	to cheer up; amuse
весомый	weighty
вещица	little thing, knick-knack
взаимовыгодный	mutually advantageous
взыскание	penalty, punishment
виноградник	vineyard
винт	screw; propeller	g sg винта
долгосрочный	long-term
вице-президент	vice-president
влево	to the left
внушительно	impressively
вовлекать/вовлечь (+a в +a)	to involve (s.o. in sth)
водопад	waterfall
воедино	together	собрать воедино to bring together
военщина	militarism; militarists
вожак	guide, leader	вожака
возвышенный	elevated; lofty	возвышенный стиль elevated style
вол	ox	g sg вола
вопиющий	flagrant, scandalous	вопиющее безобразие absolute disgrace
воровство	stealing
ворона	crow
ворчливо	grumpily, querulously
восемьсот	eight hundred	g восьмисот
всеобъемлющий	comprehensive, all-embracing
вульгарный	vulgar
входной	entrance (adj)	входная плата entrance fee
выгружать/выгрузить (+a)	to unload	p выгружу, выгрузишь
выдаваться/выдаться	to stick out	i выдаюсь, выдаёшься
выдача	issue, giving out
выдвигаться/выдвинуться	to move out; go up in the world
выжидательно	expectantly
выжидательный	waiting, expectant
выжидать/выждать (+a)	to wait (for)
выздоравливать/выздороветь	to recover, get better	p выздоровею, выздоровеешь
выныривать/вынырнуть	to come to the surface
высовывать/высунуть (+a)	to thrust out
высококачественный	high-quality
геройский	heroic
глинистый	clay (adj)
глоток	gulp, mouthful
гнуть/со- (+a)	to bend	i гну, гнёшь
годный	suitable	ни к чему не годный worthless
голландский	Dutch
гололёд	covering of ice; icy weather
горлышко	neck (of bottle); small throat	g pl горлышек
горчица	mustard
грозиться/по- (+inf)	to threaten (coll)	i грожусь, грозишься
грохотать/за-	to thunder, rumble	i грохочу, грохочешь
гряда	ridge; bed (garden)	nom pl гряды, d pl грядам
грядка	bed (for plants), flowerbed	g pl грядок
губительный	destructive
девственный	virgin (adj)
дежурить (i)	to be on duty
детвора	kids (coll)	no pl
деяние	act, action (bookish)
добродушно	kindly, good-naturedly
добываться/добыться	to be obtained
доверительно	confidentially
довериться (p) (+d)	to trust (in), confide in	p доверяться
доверчивый	trusting
дождик	shower (rain)
докладчик	speaker (at conference)
доктрина	doctrine
донесение	report, dispatch
достоверный	reliable
дохнуть/по-	to die (of animals)	i дохнет, past дох, дохла
дышать/дохнуть	to breathe	p дохну, дохнёшь
дощечка	nameplate; small board	g pl дощечек
доярка	milkmaid	g pl доярок
дрожь (f)	trembling	f
дубина	cudgel, club; blockhead, idiot
дуга	arc, curve	nom pl дуги
дудка	pipe, fife	g pl дудок; (coll) Дудки! Not likely! No way!
дымовой	smoke (adj)
дырявый	full of holes
дьявольски	devilishly
единодушно	unanimously
жалобный	plaintive; complaints (adj)	жалобная книга complaints book
живучий	hardy, enduring
живьём	alive (coll)
житие	life, biography
бормотать/за- (+a)	to mutter	p забормочу, забормочешь
забрасывать/забросить (+a)	to throw, cast; abandon; neglect	p заброшу, забросишь
завершаться/завершиться	to be finishing, end
завещать (i/p) (+a +d)	to bequeath (sth to s.o.)	i/p
загадочно	mysteriously
глохнуть/за-	to die away; stall (engine); go to seed	p past заглох, заглохла
загонять (р) (+a)	to tire out	p загоняю
загробный	beyond the grave	загробный мир the next world
зад	back, rear; rump, backside	pr sg на заду, nom pl зады
задолго	long before	задолго до конца long before the end
зажигаться/зажечься	to light up, be lit
жмуриться/за-	to screw up one’s eyes; half-close one’s eyes
заинтересованный (в +pr)	interested (in)
кипеть/за-	to boil	p закипит
закладка	laying; bookmark	g pl закладок
заматывать/замотать (+a)	to wind, twist; tire out
ночевать/за-	to spend the night	p заночую
заокеанский	transoceanic
запасаться/запастись	to stock up (with)	p запасусь, запасёшься, past запасся, запаслась
заподазривать/заподозрить (+a в +pr)	to suspect (s.o. of sth)
запаздывать/запоздать (с +inst)	to be late (with)
запрет	ban
запрягать/запрячь (+a)	to harness
запутываться/запутаться	to get confused
заросший	overgrown
засаживаться/засесть	to sit down, lodge os (coll)	p засяду, засядешь, past засел, засела
застенчивый	shy
затаивать/затаить (+a)	to conceal	p затаить дыхание to hold one’s breath
затруднять/затруднить (+a)	to make difficult, complicate; trouble	i затрудняю
затяжка	delay; inhalation (smoking)	g pl затяжек
заулыбаться (р)	to start smiling
заурядный	ordinary, mediocre
зеленеть/по-	to turn green, look green	i зеленеет
констатировать (i/p)	to ascertain; certify	i/p констатирую
знаменитость (f)	celebrity	f
зной	hot weather
зрелый	mature, ripe
зреть/со-	to ripen, mature	i зрею, зреешь
импортный	imported
идиллия	idyll
идол	idol
избивать/избить (+a)	to beat up	p изобью, изобьёшь
излишне	excessively
иллюстрация	illustration
именины (pl)	name-day	g pl именин
инерция	inertia
иностранец	foreigner
иронический	ironical
искание	search
испытанный	tested, tried
истекать/истечь	to flow out; expire (time)
истерия	hysteria	военная истерия war hysteria
исток	source
истребление	extermination
исчерпывать/исчерпать (+a)	to exhaust
кабала	slavery; servitude
каморка	small room (coll)	g pl каморок
каприз	caprice
каторжный	hard-labour (adj)
каучук	rubber
каяться/рас- (в +pr)	to repent	i каюсь, каешься
кверху	upwards
кипа	pile, stack	кипа бумаг pile of papers
кит	whale	g sg кита
кладка	laying	кирпичная кладка bricklaying
клетчатый	checked
климатический	climatic
клюква	cranberry, cranberries	no pl
кляча	nag (horse)
кобыла	mare
колесико	little wheel; cog	nom pl колесики, g pl колесиков
колечко	little ring, ringlet	nom pl колечки, g pl колечек
колыбель (f)	cradle	f
консерватория	conservatoire, music academy
консервный	canned food (adj)
контрреволюционер	counter-revolutionary
кормиться (i) (+inst)	(p по-) to be fed, eat; (p про-) live on	i кормлюсь, кормишься
королева	queen
корона	crown
корыстный	self-interested, mercenary, selfish
костяной	bone (adj), made of bone
кратковременный	brief, short-term
крашеный	painted; dyed
кривляться (i)	to behave affectedly (coll)	i кривляюсь
криво	crookedly, squint
кружево	lace	also кружева pl
крупно	on a large scale
кудри (pl)	curls	g pl кудрей
купанье or купание	bathing
купе	compartment (train)	n indecl
ладить/по- (с +inst)	to get on with (s.o.)	i лажу, ладишь
лебедь (m/f)	swan	m/f; g pl лебедей
легальный	legal
ледник	glacier	g sg ледника
лесенка	small staircase; short ladder (coll)	g pl лесенок
лесоруб	lumberjack
лизать/лизнуть (+a)	to lick	i лижу, лижешь
лимон	lemon
лиса	fox	nom pl лисы
листать (i) (+a)	to leaf through (coll)	i
лифт	lift, elevator
льгота	privilege, advantage	налоговые льготы tax relief
льдина	block of ice
любовный	love (adj)
медвежий	bear’s	f медвежья, п медвежье; медвежья услуга dubious benefit
меж (+inst or +g)	between	= между
мёрзнуть/за-	to freeze	i мёрзну, мёрзнешь; past мёрз, мёрзла
мерить/из- (+a)	to measure; try on (clothing)	из- р; по-/при- р
мерцать (i)	to twinkle, flicker	i
мех	fur	pr sg в меху; nom pl меха
механизированный	mechanized
механически	mechanically
мещанский	bourgeois, petty bourgeois; narrow-minded
мещанство	petty bourgeoisie, lower middle-class
микроб	microbe
миндаль (m)	almonds; almond tree	m; g sg миндаля
минимальный	minimum (adj)
многозначительно	meaningfully
молот	hammer
мольба	entreaty	no g pl
монархический	monarchic
монопольный	monopoly (adj)
мотаться (i)	to sway; rush about (coll)
моторный	motor, engine (adj)
мотоцикл	motorcycle
мошенник	swindler
мудрец	wise man	g sg мудреца
музейный	museum (adj)
мусорный	rubbish (adj)
мчать (i) (+a)	to rush, speed along	i мчу, мчишь
навес	awning
навещать/навестить (+a)	to visit
мясной	meat (adj)
нагрянуть (р)	to come unexpectedly (coll)
надбавка	addition, supplement	g pl надбавок
наёмный	hired
накапливаться/накопиться	to accumulate
наклон	incline, lean
наподобие (+g)	like, resembling
наполняться/наполниться (+inst)	to fill (with)
нарастание	growth, increase
населять/населить (+a)	to populate	i населяю
наследственный	inherited
насовсем	for good, for ever (coll)	= навсегда
наставник	mentor, tutor
натворить (р) (+g)	to get up to, do (sth bad) (coll)
наталкиваться/натолкнуться (на +a)	to run into, come up
нахальство	against impudence
наяву	while awake; for real	сон наяву daydream
небосклон	horizon
невмешательство (в +a)	non-interference (in)
невозможность (f)	impossibility	f
наугад	at random
невольный	involuntary
недостойный	unworthy
нежели	than (old word) (= чем)	= чем
незаконно	illegally
нездоровый	unhealthy
некого (+inf)	there is no-one	Некого спросить There’s no-one to ask
нелепо	absurdly; it’s absurd	Ей не с кем играть She has no-one to play with
неповторимый	unique, exceptional
непостижимый	incomprehensible
неправый	wrong	short forms неправ m, неправа f, неправы pl
непривычный	unaccustomed, unusual
неприкосновенный	untouchable, inviolable
непроходимый	impassable; (coll) utter
несравненно	incomparably
нетерпеливый	impatient
неудачно	unsuccessfully
неуместный	inappropriate, misplaced
нефтепровод	oil pipeline
нехотя	unwillingly; unintentionally
ничтожество	nonentity
новизна	novelty, newness
ножик	small knife, penknife
ножницы (pl)	scissors	g pl ножниц
нора	burrow	nom pl норы, g pl нор, d pl норам
носик	small nose; toe (of shoe); spout
ночлег	spending the night, night’s lodging
ноша	burden
обводить/обвести (+a)	to take round; (+inst) surround (with)	i обвожу, обводишь
обитатель (m)	inhabitant	m
облезлый	shabby, scruffy; mangy (coll)
обнаружение	revealing; discovery
обоснование	basis; grounds, justification
обосновывать/обосновать (+a)	to substantiate, justify	p обосную, обоснуешь
обострять/обострить (+a)	to intensify, worsen, aggravate	i обостряю
образный	graphic, evocative; figurative
обувать/обуть (+a)	to put shoes on s.o.; provide with shoes	p обую, обуешь
обходительный	courteous, well-mannered
общеизвестный	well-known, generally known
община	community	крестьянская община peasant commune (hist); о́бщи́на [either stress]
объективность (f)	objectivity	f
обыватель (m)	man-in-the-street; philistine	m
обыск	(official) search
овация	ovation
оголённый	bare, exposed
огорчение	distress
огорчать/огорчить (+a)	to distress, disappoint
одёргивать/одёрнуть (+a)	to straighten (clothing); (coll) call to order, tell s.o. to be quiet
одиннадцатый	eleventh
одиночный	individual, single, solitary	одиночный образ жизни solitary lifestyle
озираться (i)	to look round
злиться/о-	to get angry (coll)
озлобленный	embittered
ознакомление (с +inst)	familiarization, getting to know
оказание	rendering	оказание помощи assisting
оккупировать (i/p) (+a)	to occupy	i/p оккупирую
оперный	opera (adj), operatic
опоздание	lateness
ориентироваться (i/p)	to find one’s way; (на +a) be orientated towards	i/p ориентируюсь
осведомляться/осведомиться (о +pr)	to enquire about	p осведомлюсь, осведомишься
освещаться/осветиться	to be illuminated, light up
оснащение	equipping; equipment
основательный	well-founded; solid; thorough
отбиваться/отбиться (от +g)	to break away from; repulse, beat off; stray
отопление	heating
печатать/от- (+a)	to print (off)	печатать/отпечатывать i
отправка	sending off, dispatch
